pdb_id,model,plddt,delta_to_best
6l2l,4,48.56417808219179,-23.64164383561642
6l2l,2,65.29732876712329,-6.908493150684919
6l2l,4,42.75445205479452,-29.45136986301369
6l2l,3,38.4963698630137,-33.70945205479451
6l2l,5,43.67767123287672,-28.52815068493149
6l2l,5,35.75890410958904,-36.44691780821917
6l2l,3,68.80431506849315,-3.401506849315055
6l2l,5,39.4,-32.80582191780821
6l2l,5,42.65650684931507,-29.549315068493136
6l2l,5,64.4927397260274,-7.7130821917808134
6l2l,2,64.14280821917808,-8.06301369863013
6l2l,2,50.95835616438356,-21.24746575342465
6l2l,4,46.12013698630137,-26.08568493150684
6l2l,1,54.2959589041096,-17.90986301369861
6l2l,5,42.58554794520548,-29.62027397260273
6l2l,2,45.730136986301375,-26.475684931506834
6l2l,1,54.54205479452055,-17.663767123287656
6l2l,2,72.20582191780821,0.0
6l2l,4,42.38554794520549,-29.82027397260272
6l2l,5,49.81219178082193,-22.393630136986282
6l2l,4,59.052328767123285,-13.153493150684923
6l2l,2,42.8863698630137,-29.31945205479451
6l2l,2,61.35109589041095,-10.854726027397255
6l2l,1,50.2222602739726,-21.983561643835607
6l2l,3,62.42595890410958,-9.77986301369863
6l2l,3,44.23650684931507,-27.969315068493138
1r2z,1,49.051063829787246,-37.648297872340414
1r2z,1,52.97053191489361,-33.72882978723405
1r2z,2,58.605106382978704,-28.094255319148957
1r2z,2,55.895212765957446,-30.804148936170215
1r2z,4,43.71117021276597,-42.98819148936169
1r2z,5,66.92074468085107,-19.778617021276588
1r2z,5,69.50893617021276,-17.190425531914897
1r2z,4,74.84031914893616,-11.8590425531915
1r2z,5,72.665,-14.034361702127654
1r2z,5,59.64606382978724,-27.053297872340423
1r2z,3,81.6513829787234,-5.047978723404256
1r2z,3,71.53989361702126,-15.159468085106397
1r2z,2,57.1876595744681,-29.51170212765956
1r2z,4,67.74361702127658,-18.955744680851083
1r2z,3,84.1695744680851,-2.5297872340425585
1r2z,5,66.68308510638298,-20.016276595744685
1r2z,3,47.441063829787225,-39.258297872340435
1r2z,1,82.44340425531914,-4.255957446808523
1r2z,3,82.85063829787235,-3.84872340425531
1r2z,2,62.32351063829788,-24.375851063829778
1r2z,1,69.31893617021275,-17.38042553191491
1r2z,3,81.9468085106383,-4.752553191489355
1r2z,3,84.2195744680851,-2.4797872340425613
1r2z,1,63.660638297872346,-23.038723404255315
1r2z,5,45.6509574468085,-41.04840425531916
1r2z,3,83.72372340425531,-2.975638297872351
1r2z,2,79.01712765957444,-7.682234042553219
1r2z,4,73.3031914893617,-13.396170212765966
1r2z,2,68.3272340425532,-18.37212765957446
1r2z,4,68.0181914893617,-18.681170212765963
1r2z,1,83.72957446808512,-2.969787234042542
1r2z,2,44.37404255319149,-42.325319148936174
1r2z,4,71.09393617021277,-15.60542553191489
1r2z,5,57.90946808510638,-28.789893617021278
1r2z,2,75.43,-11.269361702127654
1r2z,5,59.09063829787235,-27.608723404255308
1r2z,5,74.95914893617021,-11.740212765957452
1r2z,4,68.6508510638298,-18.048510638297856
1r2z,1,75.93499999999999,-10.764361702127673
1r2z,3,86.69936170212766,0.0
1r2z,2,53.90127659574466,-32.798085106383
1r2z,4,81.45744680851064,-5.241914893617022
1r2z,1,56.80521276595745,-29.89414893617021
1r2z,1,84.75457446808511,-1.9447872340425505
1r2z,4,57.27680851063829,-29.42255319148937
1bg1,4,76.54645161290323,-12.261129032258054
1bg1,5,81.15666666666667,-7.650913978494614
1bg1,1,83.23758064516129,-5.569999999999993
1bg1,2,84.82166666666666,-3.9859139784946223
1bg1,2,48.23322580645161,-40.574354838709674
1bg1,3,79.79462365591398,-9.0129569892473
1bg1,1,81.06763440860215,-7.739946236559135
1bg1,2,83.59962365591399,-5.207956989247293
1bg1,2,86.30161290322582,-2.5059677419354642
1bg1,5,78.41075268817202,-10.396827956989256
1bg1,5,81.87467741935484,-6.932903225806442
1bg1,4,53.8306989247312,-34.97688172043008
1bg1,4,81.33505376344085,-7.472526881720427
1bg1,2,84.32736559139785,-4.48021505376343
1bg1,5,83.64397849462365,-5.163602150537628
1bg1,3,83.0213440860215,-5.78623655913978
1bg1,3,82.6952688172043,-6.112311827956987
1bg1,3,82.71913978494624,-6.088440860215044
1bg1,5,77.59161290322581,-11.215967741935472
1bg1,3,51.623763440860216,-37.183817204301064
1bg1,4,82.66704301075269,-6.140537634408588
1bg1,2,88.80758064516128,0.0
1bg1,2,84.80682795698925,-4.000752688172028
1bg1,4,81.98897849462367,-6.818602150537615
1bg1,2,78.57403225806453,-10.233548387096747
1bg1,3,88.15102150537635,-0.6565591397849317
1bg1,1,84.02876344086022,-4.778817204301063
1bg1,3,83.2208064516129,-5.586774193548379
1bg1,4,77.74069892473119,-11.06688172043009
1bg1,4,82.07698924731183,-6.730591397849452
1bg1,2,82.91440860215053,-5.89317204301075
1bg1,1,86.33010752688173,-2.4774731182795477
1bg1,1,82.36623655913978,-6.441344086021502
1bg1,3,83.68645161290323,-5.121129032258054
1bg1,5,87.97478494623655,-0.8327956989247269
1bg1,1,81.58279569892471,-7.224784946236568
1bg1,5,78.64010752688172,-10.16747311827956
1bg1,5,51.94978494623656,-36.85779569892472
1bg1,4,86.95967741935483,-1.8479032258064478
1bg1,5,82.4183870967742,-6.389193548387084
1bg1,3,83.80623655913978,-5.001344086021504
1bg1,4,80.4125806451613,-8.394999999999982
1bg1,1,84.48758064516129,-4.319999999999993
