,sid,rmsd_ss,rmsd_msa,plddt_ss,plddt_msa,solubility
166085,166085,27.11845016479492,4.042329788208008,35.29773929195804,79.94313592657343,1
61578,61578,2.8060901165008545,1.178500056266785,86.96278929513758,96.997843950245,1
252522,252522,23.988449096679688,9.414380073547363,39.62409868796349,80.95424700513405,1
18540,18540,26.666500091552734,0.679069995880127,35.103921052631584,95.61880592105264,1
187890,187890,29.255599975585938,0.5722200274467468,32.44464817150063,91.1734577553594,1
45522,45522,28.799650192260746,1.4300400018692017,34.497873825503355,88.31653691275167,1
40118,40118,26.047950744628903,0.6179400086402893,34.72437136739064,94.81548485775468,1
27127,27127,22.648990631103516,3.7743499279022217,43.85614796698258,81.19767043717518,1
45916,45916,12.971500396728516,0.6088700294494629,39.73126718691936,95.01167967298402,1
215732,215732,24.66267967224121,28.969240188598633,53.83572753026011,87.64639711563224,1
149709,149709,23.705150604248047,0.6302400231361389,35.513518844663615,90.76861570975696,1
28465,28465,22.149629592895508,0.7349399924278259,37.86394035532995,94.51285850253808,1
74958,74958,28.17089080810547,0.5446900129318237,33.699009268136784,96.59465963566636,1
286854,286854,19.309640884399418,1.8983399868011477,37.4477816091954,93.20189272030652,1
59607,59607,19.065290451049805,2.992069959640503,47.46232107023411,90.58854180602006,1
179435,179435,28.050439834594727,0.4992499947547912,32.7626293852032,96.77385897881209,1
208915,208915,21.032060623168945,1.180050015449524,31.89561386768448,90.37141221374046,1
97442,97442,22.72178077697754,1.8627500534057615,34.92835323923271,87.85073108939558,1
29081,29081,22.11090087890625,0.6165000200271606,37.515775087856305,97.40380320187428,1
224395,224395,29.30554962158203,4.425680160522461,37.38145634161887,90.38354684512429,1
200609,200609,20.75506019592285,1.5059000253677368,39.95164712153519,90.3342723880597,1
18314,18314,25.22916030883789,0.9404699802398682,38.2014546376077,95.84298023314749,1
214594,214594,62.18598937988281,16.046899795532227,57.92415987933636,79.65790045248869,1
53691,53691,20.880409240722656,1.4554400444030762,39.62780304988369,93.64057896097182,1
252231,252231,20.524250030517575,3.856339931488037,33.47899860529986,87.01062482566248,1
224571,224571,,,,,1
59053,59053,24.97772979736328,0.5478100180625916,36.937790753098184,95.46692564346996,1
108083,108083,26.78803062438965,1.891950011253357,35.393779953620204,90.62062612728678,1
224898,224898,24.523120880126953,3.796720027923584,38.39893243243243,72.68828885135134,1
91401,91401,27.80908966064453,1.444499969482422,36.18287324649299,94.66686873747496,1
123037,123037,25.932689666748047,1.2764099836349487,34.22781872781873,93.18490308490308,1
52808,52808,31.171510696411133,1.533869981765747,30.946518022181152,84.92163123844732,1
237048,237048,22.199310302734375,1.2247899770736694,43.132921793534926,79.66871324296142,1
252880,252880,25.973859786987305,1.0361299514770508,31.24079777365492,87.83813543599258,1
30855,30855,25.39451026916504,0.8340700268745422,39.730569933920705,96.66948788546256,1
51919,51919,26.42003059387207,4.091989994049072,31.916898963730567,87.16673575129533,1
207919,207919,24.022720336914062,0.921459972858429,35.691189008731385,94.4757935285054,1
26133,26133,24.21619987487793,1.5007200241088867,33.29437855787477,90.53270635673624,1
50000,50000,26.651079177856445,0.6825000047683716,36.67847123287671,95.32515616438356,1
29931,29931,27.139169692993164,1.7941099405288696,35.47285865537321,94.77888565378508,1
53794,53794,28.653839111328125,4.050650119781494,38.74526288391463,84.62003904216553,1
58182,58182,25.64985084533691,8.536299705505371,38.81858135495078,92.86394325419803,1
234734,234734,31.693979263305664,1.1700600385665894,33.44521839563209,89.47067408651826,1
177303,177303,29.210859298706055,0.7001199722290039,31.065929632999698,96.058601759175,1
109266,109266,24.923419952392575,11.224120140075684,39.96446258503401,84.95258503401361,1
