pdb_name,length,scr_pctg,header,tm_score,sc_rmsd,plddt,pct_helix,pct_strand,pct_coil
d1ctfa,68,scrambled_0.1,sample_26,0.966322038478241,0.4946535784057267,88.06,0.5,0.25,0.25
d1ctfa,68,scrambled_0.1,sample_27,0.9500574586931902,0.593697232991337,88.22,0.5,0.2647058823529412,0.2352941176470588
d1ctfa,68,scrambled_0.1,sample_28,0.9561353819681432,0.5456604883684286,90.12,0.5,0.2647058823529412,0.2352941176470588
d1ctfa,68,scrambled_0.1,sample_29,0.953297577723171,0.5660329034501064,87.24,0.5,0.2647058823529412,0.2352941176470588
d1ctfa,68,scrambled_0.1,sample_30,0.9485199051024136,0.6260991480125202,87.68,0.5,0.2647058823529412,0.2352941176470588
d1ctfa,68,scrambled_0.1,sample_31,0.9418878920992472,0.6498884111290919,87.32,0.5,0.2647058823529412,0.2352941176470588
d1ctfa,68,scrambled_0.1,sample_32,0.9539856386130204,0.5476027659440634,86.57,0.5,0.2941176470588235,0.2058823529411764
d1ctfa,68,scrambled_0.1,sample_33,0.9585465167650552,0.5457721880870927,87.4,0.5,0.2647058823529412,0.2352941176470588
d1ctfa,68,scrambled_0.1,sample_34,0.9269033995660242,0.7551278934793502,85.36,0.5,0.2647058823529412,0.2352941176470588
d1ctfa,68,scrambled_0.1,sample_35,0.9378564573167574,0.6785805826195839,86.83,0.5,0.2647058823529412,0.2352941176470588
d1ctfa,68,scrambled_0.1,sample_36,0.9651423547719186,0.487403939135471,91.69,0.5,0.2647058823529412,0.2352941176470588
d1ctfa,68,scrambled_0.1,sample_37,0.8967375505511843,0.916394297229118,89.42,0.4705882352941176,0.2647058823529412,0.2647058823529412
d1ctfa,68,scrambled_0.1,sample_38,0.9554789246885484,0.5553566953348482,87.11,0.5,0.2647058823529412,0.2352941176470588
d1ctfa,68,scrambled_0.1,sample_39,0.954678729220741,0.572141218122097,89.2,0.5,0.2647058823529412,0.2352941176470588
