pdb_id,sample,best_plddt,random_plddt,delta_plddt_to_best_model
1foe,pMPNN,83.33790123456791,77.94487654320987,-5.393024691358036
1fs1,pMPNN,82.7102985074627,82.17462686567163,-0.535671641791069
1fyh,pMPNN,84.0855263157895,79.34122807017545,-4.744298245614047
1gdo,pMPNN,64.65012605042017,39.06117647058824,-35.58894957983193
1gku,pMPNN,66.29342741935484,51.01592741935484,-25.277500000000003
1gmu,pMPNN,75.71671428571429,48.84228571428572,-36.87442857142857
1gwe,pMPNN,44.76759036144578,39.88112449799197,-4.886465863453807
1gxm,pMPNN,40.912074303405575,40.64219814241486,-0.2698761609907123
1hfe,pMPNN,76.04124999999999,71.9034090909091,-4.137840909090897
1how,pMPNN,40.44369127516778,35.26055369127517,-5.183137583892609
1hzf,pMPNN,67.17383435582822,47.70840490797546,-29.465429447852756
1inp,pMPNN,38.18995,29.5896,-8.600350000000002
1iq0,pMPNN,47.70672972972972,38.12327027027028,-9.58345945945944
1iq8,pMPNN,80.38532467532468,66.52012987012988,-23.865194805194804
1ir6,pMPNN,59.73316883116883,41.88361038961039,-27.849558441558443
1iuf,pMPNN,77.29466666666667,75.36413333333334,-1.9305333333333294
1ix9,pMPNN,88.84365217391303,87.7249565217391,-1.1186956521739262
1ixd,pMPNN,62.28000000000001,31.7589010989011,-40.52109890109891
1j6o,pMPNN,73.77910156249999,59.9435546875,-23.83554687499999
1j8u,pMPNN,50.1128664495114,37.97410423452769,-22.138762214983714
1je5,pMPNN,62.657512690355325,42.41319796954316,-30.244314720812163
1jfi,pMPNN,87.53155555555557,81.82392592592592,-5.7076296296296505
1jh3,pMPNN,57.58737373737373,41.9359595959596,-25.65141414141413
1jkg,pMPNN,89.04251798561151,58.068345323741006,-40.974172661870504
1jmr,pMPNN,89.46293333333334,76.68173333333334,-22.7812
1jnr,pMPNN,68.22255319148937,64.72425531914894,-3.49829787234043
1jos,pMPNN,89.8003,83.50030000000001,-6.299999999999983
1jta,pMPNN,63.977894736842096,49.35534626038781,-24.622548476454284
1jz8,pMPNN,48.42671232876712,47.68434931506849,-0.742363013698629
1k1g,pMPNN,76.21459016393443,67.97336065573771,-8.241229508196724
1k4t,pMPNN,97.57180555555554,96.96111111111112,-0.6106944444444196
1k5n,pMPNN,88.16694736842103,85.68052631578948,-2.486421052631556
1k61,pMPNN,88.86483333333332,84.93449999999999,-3.930333333333337
1k8k,pMPNN,74.4734501347709,45.07345013477089,-39.40000000000001
1k94,pMPNN,89.11927272727272,88.73599999999999,-0.38327272727272543
1kbe,pMPNN,77.06333333333333,47.07208333333333,-39.99125
1klo,pMPNN,68.59254901960784,42.71254901960785,-35.879999999999995
1ktg,pMPNN,77.44226277372263,69.48773722627737,-7.954525547445257
1kv9,pMPNN,78.87163461538464,63.967211538461534,-24.904423076923102
1kwg,pMPNN,50.8348730964467,43.511573604060914,-7.323299492385786
1ky9,pMPNN,69.45602272727272,66.47909090909091,-2.9769318181818107
1l5j,pMPNN,90.7055,90.6961875,-0.009312500000007162
1l9l,pMPNN,95.80770270270273,95.65702702702704,-0.15067567567568574
1lfw,pMPNN,72.05617346938774,70.38188775510204,-1.674285714285702
1llq,pMPNN,58.323945578231296,50.23091836734694,-8.093027210884358
1ltl,pMPNN,85.88062761506276,83.55430962343098,-2.3263179916317824
1lwh,pMPNN,50.60984654731458,34.861023017902816,-25.748823529411766
1ml4,pMPNN,81.50025477707007,67.59012738853504,-23.91012738853503
1mqv,pMPNN,89.03756097560976,88.02577235772357,-1.0117886178861966
1n13,pMPNN,76.04108695652174,75.57173913043479,-0.4693478260869455
1nh8,pMPNN,56.43895238095238,42.18257142857143,-24.25638095238095
1nui,pMPNN,79.14796296296296,68.99462962962963,-10.153333333333336
1o13,pMPNN,94.18411214953272,93.1829906542056,-1.0011214953271264
1od3,pMPNN,75.79557251908396,51.83954198473283,-33.95603053435113
1ok3,pMPNN,92.94758064516128,68.09096774193549,-34.856612903225795
1okc,pMPNN,63.558390410958914,55.62256849315069,-7.9358219178082265
1osn,pMPNN,44.18978851963746,39.53752265861026,-4.652265861027203
1p3d,pMPNN,91.76749999999998,86.68270833333334,-5.084791666666646
1p5s,pMPNN,84.77471698113207,40.673962264150944,-54.10075471698113
1pa7,pMPNN,75.04030769230769,68.82646153846153,-6.213846153846163
1paq,pMPNN,94.59813664596274,90.80509316770186,-3.793043478260884
1pd0,pMPNN,63.66063583815029,59.971329479768784,-3.6893063583815078
1pf5,pMPNN,83.56253846153847,70.25999999999999,-23.302538461538475
1pja,pMPNN,56.30328358208955,38.77347014925373,-27.529813432835816
1q0r,pMPNN,66.1081818181818,44.96127946127946,-31.146902356902345
1q90,pMPNN,97.38,96.23948717948718,-1.1405128205128108
1qqr,pMPNN,87.20739130434782,86.5918115942029,-0.6155797101449281
1qyp,pMPNN,84.69754716981133,80.50547169811323,-4.192075471698104
1r0r,pMPNN,66.54450980392156,56.78058823529412,-9.763921568627438
1r2z,pMPNN,86.69936170212766,84.75457446808511,-1.9447872340425505
1r4g,pMPNN,91.87528301886792,82.0822641509434,-9.793018867924516
1rhs,pMPNN,66.21610738255033,65.28315436241613,-0.9329530201342067
1rki,pMPNN,92.45397959183671,82.08285714285714,-10.371122448979577
1rp3,pMPNN,92.84350649350652,82.22883116883116,-10.61467532467536
1rqb,pMPNN,73.11404761904762,59.47029761904762,-23.643750000000004
1ryp,pMPNN,63.400373443983405,47.59568464730291,-25.804688796680495
1s14,pMPNN,61.51471204188482,44.13958115183246,-27.37513089005236
1s29,pMPNN,91.00202247191012,69.11359550561798,-31.888426966292144
1s68,pMPNN,54.95888412017167,46.30935622317597,-8.6495278969957
1sed,pMPNN,81.80767857142858,77.3150892857143,-4.492589285714288
1shu,pMPNN,88.86403314917126,88.14883977900554,-0.7151933701657214
1snn,pMPNN,65.87442922374429,51.60648401826484,-24.26794520547945
1spp,pMPNN,90.64223214285714,84.36160714285714,-6.280625000000001
1srk,pMPNN,88.73181818181817,87.61545454545454,-1.11636363636363
1sse,pMPNN,86.98257142857142,73.38171428571428,-23.600857142857137
1svi,pMPNN,82.12046153846154,60.0476923076923,-32.07276923076924
1sxj,pMPNN,95.82939393939397,95.5281818181818,-0.3012121212121599
1t1u,pMPNN,44.93442408376964,43.52301047120419,-1.411413612565454
1t7s,pMPNN,81.16387596899224,78.1753488372093,-2.988527131782945
1tpg,pMPNN,86.7248,63.06000000000001,-33.66479999999999
1tsj,pMPNN,67.7390977443609,66.20436090225564,-1.5347368421052607
1u3e,pMPNN,89.70409523809522,54.77647619047619,-44.92761904761903
1u3o,pMPNN,79.55880597014924,75.78805970149254,-3.770746268656694
1u69,pMPNN,65.31538461538462,58.51326923076923,-6.802115384615384
1u7b,pMPNN,83.29920634920637,49.90738095238096,-43.39182539682541
1u84,pMPNN,92.91234567901232,90.78049382716048,-2.1318518518518346
1ua7,pMPNN,39.78901162790698,33.114593023255814,-6.674418604651166
1ub1,pMPNN,52.90736000000001,47.3964,-5.510960000000011
1ufn,pMPNN,80.62197530864198,76.92358024691357,-3.698395061728405
1ujo,pMPNN,83.41732824427481,77.81961832061067,-5.597709923664141
1uoy,pMPNN,84.13374999999999,76.53921875,-7.594531249999989
1uuj,pMPNN,85.3367105263158,81.73710526315789,-3.599605263157912
1uv7,pMPNN,90.67825,89.17762499999999,-1.5006250000000136
1v1h,pMPNN,65.57783783783785,48.074864864864864,-27.502972972972984
1v74,pMPNN,91.65586206896552,85.87747126436781,-5.778390804597706
1v8p,pMPNN,95.29030303030302,88.8064393939394,-6.483863636363623
1vcf,pMPNN,50.31654838709678,31.56509677419355,-28.75145161290323
1vco,pMPNN,54.43652,48.40395999999999,-6.032560000000011
1vdc,pMPNN,77.5719696969697,61.269696969696966,-26.302272727272737
1vdr,pMPNN,66.93229299363057,62.055796178343954,-4.876496815286615
1vim,pMPNN,91.27653846153846,88.31917582417583,-2.9573626373626354
1vk3,pMPNN,82.24793939393939,77.2140606060606,-5.033878787878791
1vk8,pMPNN,86.19258064516127,70.08602150537635,-26.10655913978492
1vkz,pMPNN,58.46511627906977,53.530465116279046,-4.934651162790722
1w4x,pMPNN,53.49697872340426,31.972085106382973,-31.524893617021288
1w6k,pMPNN,53.96039426523298,43.00161290322581,-10.958781362007166
1w7o,pMPNN,54.59127118644068,48.53432203389831,-6.056949152542366
1wa3,pMPNN,82.07886138613861,37.793465346534646,-54.28539603960397
1wdv,pMPNN,81.74473333333333,50.3986,-41.34613333333333
1wfo,pMPNN,81.2511965811966,79.53598290598292,-1.7152136752136755
1wgl,pMPNN,91.34021739130436,87.43195652173912,-3.9082608695652397
1whq,pMPNN,90.69674418604652,89.29011627906978,-1.4066279069767376
1why,pMPNN,89.11095238095238,85.25428571428571,-3.856666666666669
1wju,pMPNN,88.87609195402298,87.54827586206896,-1.3278160919540198
1wv3,pMPNN,89.65628205128208,56.65807692307691,-42.998205128205164
1wvh,pMPNN,81.8409022556391,69.00954887218046,-22.831353383458634
1wyj,pMPNN,64.2161607142857,55.57544642857143,-8.640714285714274
1wz3,pMPNN,67.38714285714286,54.5117857142857,-22.875357142857162
1wzl,pMPNN,52.838900523560206,48.11052356020943,-4.728376963350776
1x4t,pMPNN,88.48886075949365,87.16582278481013,-1.3230379746835155
1x6h,pMPNN,88.46805555555555,87.08444444444444,-1.383611111111108
1xc2,pMPNN,87.57486842105264,48.48881578947368,-49.08605263157896
1xeq,pMPNN,89.63033707865168,83.17842696629215,-6.451910112359528
1xg9,pMPNN,83.53887096774191,75.48145161290323,-8.057419354838686
1xhb,pMPNN,42.38122137404581,30.606564885496184,-11.774656488549624
1xhs,pMPNN,55.59575221238938,55.32646017699115,-0.2692920353982302
1xoy,pMPNN,71.3819375,30.1714375,-51.21050000000001
1xq4,pMPNN,91.93252032520328,91.3170731707317,-0.6154471544715818
1xwm,pMPNN,93.56990566037736,91.79716981132076,-1.7727358490566019
1ybf,pMPNN,57.108983739837406,47.857601626016255,-9.251382113821151
1ybt,pMPNN,92.47640718562874,90.71149700598804,-1.764910179640708
1ybx,pMPNN,68.83285714285714,59.57054945054945,-9.262307692307687
1yf2,pMPNN,46.78126829268294,42.02258536585367,-4.758682926829266
1yht,pMPNN,60.94209302325582,60.173924418604656,-0.7681686046511658
1yjr,pMPNN,94.64166666666668,92.28527777777778,-2.356388888888901
1ynp,pMPNN,61.55915824915825,39.589865319865325,-31.969292929292926
1ytq,pMPNN,49.84673913043479,42.9004347826087,-6.946304347826093
1yvu,pMPNN,78.57655948553054,73.97003215434083,-4.60652733118971
1z2a,pMPNN,82.91158536585365,77.8844512195122,-5.027134146341453
1zbs,pMPNN,82.39818181818181,82.11772727272727,-0.2804545454545462
1zcb,pMPNN,93.84793650793652,92.1588888888889,-1.6890476190476278
1zch,pMPNN,53.25751004016064,47.60236947791165,-5.655140562248988
1zcz,pMPNN,65.57566878980893,47.16904458598727,-28.406624203821657
1zgm,pMPNN,83.80288590604027,77.5810067114094,-6.221879194630873
1zkd,pMPNN,50.64065753424656,40.87534246575343,-9.76531506849313
1zki,pMPNN,94.75293650793652,52.92904761904763,-51.823888888888895
1zyb,pMPNN,82.7374149659864,43.07156462585034,-49.66585034013606
2a0u,pMPNN,63.49486631016043,47.88847593582887,-25.60639037433156
2aeu,pMPNN,62.79106557377049,58.35565573770492,-4.435409836065567
2atz,pMPNN,55.83443181818182,52.93198863636364,-2.902443181818178
2b5g,pMPNN,74.99249999999999,70.79345238095239,-4.1990476190476045
2b5x,pMPNN,64.91153846153846,41.014895104895096,-33.89664335664336
2ba0,pMPNN,83.5980392156863,44.60039215686275,-48.997647058823546
2bc4,pMPNN,87.33201923076922,73.22875,-24.103269230769214
2bkm,pMPNN,83.78617187499998,80.95601562499999,-2.8301562499999875
2bnm,pMPNN,90.95486111111111,83.62805555555558,-7.326805555555538
2bo4,pMPNN,52.7586052631579,44.91542105263158,-7.843184210526317
2bog,pMPNN,54.18122377622377,51.55059440559441,-2.6306293706293573
2bop,pMPNN,90.72070588235296,87.08858823529411,-3.6321176470588483
2brf,pMPNN,86.6281188118812,84.43376237623762,-2.19435643564357
