pdb_id,model,plddt,delta_to_best
6vzd,2,62.2954430379747,-19.05037974683544
1xg9,2,61.61306451612903,-2.9950000000000045
1xg9,4,57.630645161290325,-6.977419354838709
1xg9,5,58.74435483870967,-5.863709677419365
1xg9,3,59.89935483870968,-4.708709677419357
1xg9,1,64.60806451612903,0.0
2fvv,1,34.22585185185185,-7.029481481481476
2fvv,3,41.255333333333326,0.0
2fvv,4,39.70555555555556,-1.5497777777777628
2fvv,2,38.83274074074074,-2.4225925925925864
2fvv,5,39.10948148148149,-2.1458518518518375
2p3w,5,43.2494,-3.1195999999999984
2p3w,2,43.3874,-2.9816000000000003
2p3w,3,46.369,0.0
2p3w,1,43.8239,-2.545099999999998
2p3w,4,42.64630000000001,-3.722699999999989
2bo4,4,42.43592105263158,-0.6330000000000098
2bo4,2,43.06892105263159,0.0
2bo4,1,38.06884210526316,-5.000078947368429
2bo4,5,40.621421052631575,-2.447500000000012
2bo4,3,39.79663157894737,-3.272289473684218
2xw6,2,62.053203125,0.0
2xw6,1,40.18914062499999,-21.86406250000001
2xw6,4,38.89937499999999,-23.15382812500001
2xw6,3,40.832109375,-21.22109375
2xw6,5,41.1075,-20.945703125
6zjk,2,35.307809523809524,-0.6993333333333354
6zjk,5,36.00714285714286,0.0
6zjk,4,33.3312380952381,-2.6759047619047607
6zjk,3,32.57326984126984,-3.4338730158730186
6zjk,1,35.33761904761905,-0.6695238095238096
1u3o,5,51.99089552238806,-6.147164179104486
1u3o,1,58.138059701492544,0.0
1u3o,4,53.402835820895525,-4.735223880597019
1u3o,3,47.209701492537306,-10.928358208955238
1u3o,2,56.53358208955224,-1.604477611940304
2q9q,1,45.793070175438594,-7.310438596491224
2q9q,4,53.10350877192982,0.0
2q9q,5,47.050877192982455,-6.052631578947363
2q9q,3,48.29280701754386,-4.81070175438596
2q9q,2,48.061228070175446,-5.042280701754372
3c9u,5,30.39396449704142,-1.6277514792899446
3c9u,4,32.021715976331365,0.0
3c9u,3,29.66662721893491,-2.355088757396455
3c9u,2,31.49550295857988,-0.5262130177514841
3c9u,1,30.758520710059173,-1.2631952662721915
1spp,4,59.93839285714286,0.0
1spp,1,39.21875,-20.71964285714286
1spp,5,51.64589285714286,-8.292499999999997
1spp,2,33.07133928571428,-26.867053571428578
1spp,3,43.37151785714286,-16.566874999999996
1adz,4,62.8930985915493,0.0
1adz,1,55.30591549295775,-7.587183098591545
1adz,5,36.98507042253521,-25.908028169014088
1adz,2,43.58859154929578,-19.30450704225352
1adz,3,41.803521126760565,-21.089577464788732
1xwm,5,53.09240566037736,-4.95056603773584
