,Unnamed: 0,con,dgram_cce,exp_res,fape,hard,helix,i_ptm,loss,models,pae,plddt,ptm,recycles,seq_ent,seqid,soft,temp,rmsd_io,tm_i,tm_o,tm_io,composite,names,data
TMB2.15,34,1.5291019678115845,1.4341167211532593,0.0105210719630122,0.3335445523262024,1.0,7.699556827545166,0.0,1.4341167211532593,[0],3.8426603227853775,0.9232885092496872,0.8043876886367798,3,333.691650390625,0.8699186991869918,0.0,1.0,1.3584433794021606,1.0,0.9504,0.9504,0.7058448871692014,TMB2.15,TMB
TMB2.17,35,1.4769763946533203,1.578778862953186,0.0094593176618218,0.3319056034088135,1.0,7.936599254608154,0.0,1.578778862953186,[0],3.749251551926136,0.928363896906376,0.8261737823486328,3,333.691650390625,0.8699186991869918,0.0,1.0,0.8584411144256592,1.0,0.9596,0.9596,0.7360035196540933,TMB2.17,TMB
TMB2.18,36,1.471285343170166,1.4168421030044556,0.0102201290428638,0.295502632856369,1.0,8.062744140625,0.0,1.4168421030044556,[0],3.4056818038225174,0.9394113644957542,0.8247421383857727,3,333.691650390625,0.8699186991869918,0.0,1.0,0.7265865206718445,1.0,0.9709,0.9709,0.7522262683746015,TMB2.18,TMB
TMB2.19,37,1.6133760213851929,1.523223042488098,0.0129793919622898,0.3912465870380401,1.0,7.325525283813477,0.0,1.523223042488098,[0],3.86167199164629,0.9231594726443292,0.7840029001235962,3,333.691650390625,0.8699186991869918,0.0,1.0,1.3776488304138184,1.0,0.9425,0.9425,0.6821435208595146,TMB2.19,TMB
TMB2.2,49,1.5621023178100586,1.4037262201309204,0.0138159794732928,0.3041931390762329,1.0,7.470977783203125,0.0,1.4037262201309204,[0],3.975975051522255,0.9199867397546768,0.8113056421279907,3,333.691650390625,0.8699186991869918,0.0,1.0,0.7614517211914062,1.0,0.9683,0.9683,0.7227298559310297,TMB2.2,TMB
TMB2.20,39,1.6402628421783447,1.3840625286102295,0.0130471931770443,0.3252709507942199,1.0,7.294715881347656,0.0,1.3840625286102295,[0],4.238717779517174,0.908565640449524,0.7870446443557739,3,333.691650390625,0.8699186991869918,0.0,1.0,0.6666289567947388,1.0,0.9753,0.9753,0.6974192028438432,TMB2.20,TMB
TMB2.21,40,1.503217697143555,1.4332716464996338,0.0075330082327127,0.3472811877727508,1.0,7.8412184715271,0.0,1.4332716464996338,[0],3.683664262294769,0.9293448701500892,0.8167312145233154,3,333.691650390625,0.8699186991869918,0.0,1.0,1.3849081993103027,1.0,0.9476,0.9476,0.7192520563684397,TMB2.21,TMB
TMB2.22,41,1.5350600481033323,1.351164937019348,0.0122325411066412,0.2804989218711853,1.0,7.68700647354126,0.0,1.351164937019348,[0],3.930177792906761,0.9233834892511368,0.8177953362464905,3,333.691650390625,0.8699186991869918,0.0,1.0,0.6648679971694946,1.0,0.9752,0.9752,0.7364112710418915,TMB2.22,TMB
TMB2.23,42,1.5015994310379028,1.6171294450759888,0.0121874473989009,0.3332220613956451,1.0,7.698581695556641,0.0,1.6171294450759888,[0],3.880110859870911,0.9233161956071854,0.8181043267250061,3,333.691650390625,0.8617886178861789,0.0,1.0,0.9374402165412904,1.0,0.9528,0.9528,0.7197155589622071,TMB2.23,TMB
TMB2.24,43,1.4214134216308594,1.5378340482711792,0.0071892500855028,0.3113311529159546,1.0,8.268767356872559,0.0,1.5378340482711792,[0],3.260616809129715,0.9456695280969144,0.8191894292831421,3,333.691650390625,0.8699186991869918,0.0,1.0,0.8814394474029541,1.0,0.9583,0.9583,0.742378221553962,TMB2.24,TMB
TMB2.25,44,1.4103500843048096,1.51210355758667,0.0084932474419474,0.3121205866336822,1.0,8.222158432006836,0.0,1.51210355758667,[0],3.3685784116387367,0.9409071654081343,0.8275272250175476,3,333.691650390625,0.8699186991869918,0.0,1.0,0.8685600757598877,1.0,0.9613,0.9613,0.7484934579500135,TMB2.25,TMB
TMB2.26,45,1.6804918050765991,1.3910455703735352,0.0133383590728044,0.2954741716384887,1.0,7.191903591156006,0.0,1.3910455703735352,[0],4.530013233423233,0.8996717631816864,0.7933781743049622,3,333.691650390625,0.8699186991869918,0.0,1.0,0.9866143465042114,1.0,0.968,0.968,0.6909389828365146,TMB2.26,TMB
TMB2.27,46,1.5089184045791626,1.3688510656356812,0.0108288740739226,0.2819501757621765,1.0,7.654120445251465,0.0,1.3688510656356812,[0],3.76317060738802,0.9265202432870864,0.8100791573524475,3,333.691650390625,0.8699186991869918,0.0,1.0,0.6865030527114868,1.0,0.9736,0.9736,0.7307400928700553,TMB2.27,TMB
TMB2.28,47,1.4475654363632202,1.3253161907196045,0.0086098909378051,0.2939451336860657,1.0,8.069178581237793,0.0,1.3253161907196045,[0],3.326074756681919,0.9432348981499672,0.8156700730323792,3,333.691650390625,0.8617886178861789,0.0,1.0,0.6684602499008179,1.0,0.9751,0.9751,0.7502112031519816,TMB2.28,TMB
TMB2.29,48,1.5739879608154297,1.4731322526931765,0.013328343629837,0.3443381786346435,1.0,7.470858573913574,0.0,1.4731322526931765,[0],3.9826167672872543,0.9189753979444504,0.8022786974906921,3,333.691650390625,0.8699186991869918,0.0,1.0,1.083115816116333,1.0,0.954,0.954,0.7033597635655764,TMB2.29,TMB
TMB2.3,60,1.5300803184509275,1.4290105104446411,0.0092514464631676,0.3378805518150329,1.0,7.7165913581848145,0.0,1.4290105104446411,[0],4.0866978764534,0.9162362068891524,0.8125576972961426,3,333.691650390625,0.8780487804878049,0.0,1.0,0.9759480953216552,1.0,0.9579,0.9579,0.7131515521080904,TMB2.3,TMB
